timestamp,src_ip,dst_ip,dst_port,protocol,bytes_sent,bytes_recv,duration_sec,packets,label
2026-06-29 17:49:49,10.0.1.210,192.138.43.20,993,UDP,17809,285793,449.97,774,normal
2026-06-04 08:42:32,10.0.4.236,34.48.200.50,993,ICMP,399809,768327,249.29,31,normal
2026-06-28 13:34:54,10.0.3.52,8.135.241.97,123,UDP,169826,445904,307.46,48,normal
2026-06-14 06:06:27,10.0.4.63,104.8.254.187,993,ICMP,213134,588347,167.21,583,normal
2026-06-18 21:57:23,10.0.1.115,52.244.55.165,53,UDP,374745,113665,271.42,1184,normal
2026-06-15 03:16:21,10.0.4.64,8.72.206.158,80,UDP,330356,87797,57.32,347,normal
2026-06-22 13:12:33,10.0.2.190,52.77.18.83,123,UDP,297182,797627,139.53,1011,normal
2026-06-26 17:28:38,10.0.4.128,52.120.164.119,3306,UDP,3021,281270,414.27,1152,normal
2026-06-22 23:33:32,10.0.0.97,34.6.82.134,443,ICMP,387907,768778,48.95,216,normal
2026-06-06 12:41:10,10.0.5.206,172.249.71.192,443,TCP,456099,119285,23.53,869,normal
2026-06-25 21:33:26,10.0.2.134,52.190.84.37,993,ICMP,155683,123395,261.34,603,normal
2026-06-14 04:58:33,10.0.2.121,104.107.169.238,587,ICMP,421005,643925,571.2,761,normal
2026-06-07 03:49:10,10.0.3.18,8.159.96.52,80,TCP,434948,496989,5.99,853,normal
2026-06-05 06:30:34,10.0.2.163,172.115.176.161,80,TCP,49757,64176,375.02,1218,normal
2026-06-01 15:25:59,10.0.2.95,172.206.130.144,587,ICMP,149096,860723,546.92,873,normal
2026-06-25 14:56:41,10.0.1.68,172.52.64.205,80,UDP,40719,621527,91.54,1497,normal
2026-06-24 18:30:37,10.0.5.224,172.242.107.44,587,UDP,200874,346298,345.44,1213,normal
2026-06-01 02:55:50,10.0.1.122,203.0.165.20,80,TCP,113578,95875,557.74,1260,normal
2026-06-03 09:00:08,10.0.0.62,172.201.193.199,123,ICMP,230623,446170,398.94,670,normal
2026-06-18 13:06:45,10.0.1.245,34.142.73.216,53,ICMP,163552,879487,313.24,1087,normal
2026-06-20 21:35:35,10.0.5.90,34.12.187.219,587,UDP,364532,827389,150.4,247,normal
2026-06-22 05:04:49,10.0.2.46,192.5.100.114,80,UDP,382039,444777,128.35,1147,normal
2026-06-17 10:17:33,10.0.0.156,52.17.140.165,123,ICMP,307431,325568,197.14,756,normal
